mq_ra,mq_dec,mq_name,mq_z,mq_cite
0.0064635000000000005,-0.5590659,SDSS J000001.55-003332.6,2.219,DR14Q
0.0068554,0.5831838,SDSS J000001.64+003459.4,2.271,DR14Q
0.0080667,-0.2409708,SDSS J000001.93-001427.4,2.1630000000000003,DR14Q
0.0094699,0.6275451999999999,SDSS J000002.27+003739.1,0.248,DR14
0.013229,1.2529671,SDSS J000003.17+011510.6,2.354,DR14Q
0.0136303,0.1924487,SDSS J000003.27+001132.8,1.485,DR14Q
0.0199431,-0.9096349,SDSS J000004.78-005434.6,0.858,DR14Q
0.0206959,-0.2783433,SDSS J000004.96-001642.0,2.8789999999999996,DR14Q
0.0209286,-0.641393,SDSS J000005.02-003829.0,2.662,DR14Q
0.022563299999999998,0.4439026,SDSS J000005.41+002638.0,0.9279999999999999,DR14Q
0.0256383,-0.5026819,SDSS J000006.15-003009.6,2.17,DR14Q
0.0267754,0.8684198000000001,SDSS J000006.42+005206.3,1.449,DR14Q
0.027228,0.5153409999999999,SDSS J000006.53+003055.2,1.825,DR14Q
0.029914499999999997,0.3147414,SDSS J000007.17+001853.0,1.095,DR14Q
0.031617599999999996,0.49535450000000003,SDSS J000007.58+002943.2,2.254,DR14Q
0.032359,-1.2052336000000001,SDSS J000007.76-011218.8,0.9640000000000001,DR14Q
0.033460699999999996,-0.4576295999999999,SDSS J000008.03-002727.4,2.181,DR14Q
0.0339,0.276301,SDSS J000008.13+001634.6,1.837,DR14Q
0.041280800000000006,0.4684842000000001,SDSS J000009.90+002806.5,1.9,DR14Q
0.0457486,0.9481538,SDSS J000010.97+005653.3,0.653,DR14Q
0.049839,0.040365,LBQS 2357-0014,0.479,DR7Q
0.051079,-0.539047,SDSS J000012.25-003220.5,1.436,DR14Q
0.0511754,-1.0682118999999999,SDSS J000012.28-010405.5,0.9490000000000001,DR14Q
0.0516811,0.7427203,SDSS J000012.40+004433.7,2.427,DR14Q
0.057505999999999995,-0.9130010000000001,SDSS J000013.80-005446.8,1.85,DR14Q
0.0613951,-0.3274256,SDSS J000014.73-001938.7,1.7480000000000002,DR14Q
0.06143440000000001,0.5342458000000001,SDSS J000014.74+003203.2,2.5980000000000003,DR14Q
0.061778999999999994,-1.1752,SDSS J000014.82-011030.7,1.8880000000000001,DR14Q
0.06321449999999999,0.8092483,SDSS J000015.17+004833.2,3.028,DR14Q
0.063291,-0.385789,SDSS J000015.18-002308.8,3.1839999999999997,DR14Q
0.064497,0.879677,SDSS J000015.47+005246.8,1.8519999999999999,DR14Q
0.0656889,-0.6958439000000001,SDSS J000015.76-004145.0,2.404,DR14Q
0.0669603,-1.0775259,SDSS J000016.07-010439.0,1.636,DR14Q
0.068466,-0.309277,SDSS J000016.43-001833.3,0.703,DR14Q
0.07453,0.436838,SDSS J000017.88+002612.6,0.546,DR14Q
0.0748846,0.4074993,SDSS J000017.97+002426.9,2.281,DR14Q
0.08165239999999999,1.2513756999999999,SDSS J000019.59+011504.9,1.3019999999999998,DR14Q
0.0816929,0.7466702,SDSS J000019.60+004448.0,1.811,DR14Q
0.083534,0.3355692,SDSS J000020.04+002008.0,0.9309999999999999,DR14Q
0.0845669,-0.6481640000000001,SDSS J000020.29-003853.3,0.49,DR14
0.0852031,-0.844569,SDSS J000020.44-005040.4,2.735,DR14Q
0.0854271,0.45111009999999996,SDSS J000020.50+002703.9,1.9809999999999999,DR14Q
0.0907125,0.2350472,SDSS J000021.77+001406.1,1.83,DR14Q
0.09574210000000001,-0.6649965999999999,SDSS J000022.97-003953.9,2.305,DR14Q
0.0969548,-0.5693957,SDSS J000023.26-003409.8,1.146,DR14Q
0.09830269999999999,0.6661914000000001,SDSS J000023.59+003958.2,0.9009999999999999,DR14Q
0.10964020000000001,0.5974497,PGC 1170206,0.10400000000000001,PGC
0.1110751,-0.1965654,SDSS J000026.65-001147.6,2.314,DR14Q
0.1123184,0.3346646,SDSS J000026.95+002004.7,0.8220000000000001,DR14Q
0.1130202,-1.0126271999999998,SDSS J000027.12-010045.4,1.264,DR14Q
0.1133172,-0.11521120000000001,SDSS J000027.19-000654.7,1.955,DR14Q
0.12221459999999999,0.3362575,SDSS J000029.33+002010.5,1.3840000000000001,DR14Q
0.12489569999999998,-0.4243181,SDSS J000029.97-002527.5,1.631,DR14Q
0.12496159999999999,0.8126055999999999,SDSS J000029.99+004845.3,2.412,DR14Q
0.126577,-0.459003,SDSS J000030.37-002732.4,1.805,DR14Q
0.1303028,-1.0641021000000002,SDSS J000031.27-010350.7,2.416,DR14Q
0.132785,1.051464,SDSS J000031.86+010305.2,1.093,DR14Q
0.1332296,0.3805312,SDSS J000031.97+002249.9,1.157,DR14Q
0.13625299999999999,-0.920264,SDSS J000032.70-005512.9,1.525,DR14Q
0.1422203,-0.4042418,SDSS J000034.13-002415.2,2.0069999999999997,DR14Q
0.1483326,-0.5294901999999999,SDSS J000035.59-003146.1,0.564,DR14Q
0.1546911,-0.39355429999999997,SDSS J000037.12-002336.7,1.8840000000000001,DR14Q
0.16108499999999998,1.240635,SDSS J000038.66+011426.2,1.835,DR14Q
0.162502,-0.301107,SDSS J000039.00-001803.9,2.125,DR14Q
0.16895510000000002,0.4745906,SDSS J000040.54+002828.5,1.982,DR14Q
0.173271,1.0959729999999999,SDSS J000041.58+010545.5,1.54,DR14Q
0.1744995,-0.2020205,SDSS J000041.87-001207.2,3.0660000000000003,DR14Q
0.175101,-0.750386,SDSS J000042.02-004501.3,1.311,DR14Q
0.1787571,0.9276428,LBQS 2358+0038,0.95,DR7Q
0.182124,-0.22950399999999999,SDSS J000043.70-001346.2,2.1919999999999997,DR14Q
0.18219960000000002,0.3338683,SDSS J000043.72+002001.9,2.6519999999999997,DR14Q
0.1877114,1.1910602,SDSS J000045.05+011127.8,2.065,DR14Q
0.19232,-0.501993,SDSS J000046.15-003007.1,1.445,DR14Q
0.19343370000000001,1.239117,SDSS J000046.42+011420.8,3.73,DR14Q
0.1945499,1.1642346000000001,SDSS J000046.69+010951.2,4.248,DR14Q
0.1958905,-1.1837948999999999,SDSS J000047.01-011101.6,1.511,DR14Q
